Customer_ID,Counter_ID,Start_Time,End_Time
299,medium,2018-09-03T23:10:13,2018-09-03T23:50:13
700,medium,2018-09-03T23:50:13,2018-09-04T00:47:13
151,high,2018-09-05T02:25:19,2018-09-05T03:42:19
553,medium,2018-09-04T00:47:13,2018-09-04T01:21:13
326,medium,2018-09-04T01:21:13,2018-09-04T01:59:13
33,high,2018-09-05T03:42:19,2018-09-05T04:46:19
577,medium,2018-09-04T01:59:13,2018-09-04T02:45:13
229,high,2018-09-05T04:46:19,2018-09-05T04:57:19
394,medium,2018-09-04T02:45:13,2018-09-04T03:49:13
12,high,2018-09-05T04:57:19,2018-09-05T06:31:19
638,medium,2018-09-04T03:49:13,2018-09-04T05:39:13
692,high,2018-09-05T06:31:19,2018-09-05T08:04:19
44,high,2018-09-05T08:04:19,2018-09-05T09:49:19
615,medium,2018-09-04T05:39:13,2018-09-04T05:55:13
240,medium,2018-09-04T05:55:13,2018-09-04T07:10:13
614,medium,2018-09-04T07:10:13,2018-09-04T08:33:13
616,medium,2018-09-04T08:33:13,2018-09-04T10:24:13
27,high,2018-09-05T09:49:19,2018-09-05T10:08:19
435,medium,2018-09-04T10:24:13,2018-09-04T11:53:13
287,medium,2018-09-04T11:53:13,2018-09-04T13:14:13
618,medium,2018-09-04T13:14:13,2018-09-04T13:37:13
452,high,2018-09-05T10:08:19,2018-09-05T10:13:19
203,high,2018-09-05T10:13:19,2018-09-05T10:52:19
612,high,2018-09-05T10:52:19,2018-09-05T12:22:19
658,high,2018-09-05T12:22:19,2018-09-05T12:44:19
412,medium,2018-09-04T13:37:13,2018-09-04T15:30:13
164,high,2018-09-05T12:44:19,2018-09-05T14:36:19
497,medium,2018-09-04T15:30:13,2018-09-04T15:56:13
253,high,2018-09-05T14:36:19,2018-09-05T16:28:19
106,high,2018-09-05T16:28:19,2018-09-05T17:49:19
167,high,2018-09-05T17:49:19,2018-09-05T18:53:19
349,high,2018-09-05T18:53:19,2018-09-05T19:39:19
341,medium,2018-09-04T15:56:13,2018-09-04T17:06:13
36,high,2018-09-05T19:39:19,2018-09-05T19:49:19
528,high,2018-09-05T19:49:19,2018-09-05T21:21:19
634,high,2018-09-05T21:21:19,2018-09-05T22:14:19
354,medium,2018-09-04T17:06:13,2018-09-04T18:52:13
385,medium,2018-09-04T18:52:13,2018-09-04T20:08:13
47,high,2018-09-05T22:14:19,2018-09-05T23:37:19
637,medium,2018-09-04T20:08:13,2018-09-04T21:22:13
65,high,2018-09-05T23:37:19,2018-09-06T01:28:19
670,medium,2018-09-04T21:22:13,2018-09-04T21:59:13
160,high,2018-09-06T01:28:19,2018-09-06T02:46:19
471,medium,2018-09-04T21:59:13,2018-09-04T23:08:13
332,medium,2018-09-04T23:08:13,2018-09-05T00:03:13
30,high,2018-09-06T02:46:19,2018-09-06T04:13:19
1,high,2018-09-06T04:13:19,2018-09-06T05:35:19
548,medium,2018-09-05T00:03:13,2018-09-05T01:45:13
529,medium,2018-09-05T01:45:13,2018-09-05T02:45:13
250,medium,2018-09-05T02:45:13,2018-09-05T02:57:13
643,medium,2018-09-05T02:57:13,2018-09-05T04:31:13
610,medium,2018-09-05T04:31:13,2018-09-05T05:40:13
371,medium,2018-09-05T05:40:13,2018-09-05T06:04:13
289,medium,2018-09-05T06:04:13,2018-09-05T06:12:13
293,medium,2018-09-05T06:12:13,2018-09-05T07:49:13
25,high,2018-09-06T05:35:19,2018-09-06T06:48:19
514,high,2018-09-06T06:48:19,2018-09-06T08:08:19
531,medium,2018-09-05T07:49:13,2018-09-05T08:10:13
533,medium,2018-09-05T08:10:13,2018-09-05T09:31:13
210,medium,2018-09-05T09:31:13,2018-09-05T11:11:13
500,medium,2018-09-05T11:11:13,2018-09-05T12:39:13
379,medium,2018-09-05T12:39:13,2018-09-05T14:30:13
46,high,2018-09-06T08:08:19,2018-09-06T08:42:19
172,high,2018-09-06T08:42:19,2018-09-06T10:31:19
476,medium,2018-09-05T14:30:13,2018-09-05T14:46:13
261,medium,2018-09-05T14:46:13,2018-09-05T15:31:13
128,high,2018-09-06T10:31:19,2018-09-06T11:20:19
596,medium,2018-09-05T15:31:13,2018-09-05T17:24:13
606,medium,2018-09-05T17:24:13,2018-09-05T17:57:13
579,medium,2018-09-05T17:57:13,2018-09-05T18:12:13
370,medium,2018-09-05T18:12:13,2018-09-05T18:21:13
245,medium,2018-09-05T18:21:13,2018-09-05T19:27:13
524,medium,2018-09-05T19:27:13,2018-09-05T20:57:13
140,high,2018-09-06T11:20:19,2018-09-06T13:07:19
307,medium,2018-09-05T20:57:13,2018-09-05T22:08:13
87,high,2018-09-06T13:07:19,2018-09-06T13:13:19
581,medium,2018-09-05T22:08:13,2018-09-05T22:45:13
184,high,2018-09-06T13:13:19,2018-09-06T14:14:19
40,high,2018-09-06T14:14:19,2018-09-06T15:59:19
313,medium,2018-09-05T22:45:13,2018-09-06T00:12:13
381,medium,2018-09-06T00:12:13,2018-09-06T00:59:13
562,medium,2018-09-06T00:59:13,2018-09-06T01:23:13
100,high,2018-09-06T15:59:19,2018-09-06T17:00:19
127,high,2018-09-06T17:00:19,2018-09-06T18:32:19
569,medium,2018-09-06T01:23:13,2018-09-06T02:33:13
481,medium,2018-09-06T02:33:13,2018-09-06T03:29:13
389,medium,2018-09-06T03:29:13,2018-09-06T04:52:13
262,medium,2018-09-06T04:52:13,2018-09-06T05:34:13
544,medium,2018-09-06T05:34:13,2018-09-06T06:51:13
194,high,2018-09-06T18:32:19,2018-09-06T19:38:19
972,low,2018-09-03T09:27:21,2018-09-03T09:36:21
1048,low,2018-09-03T09:36:21,2018-09-03T10:10:21
911,low,2018-09-03T10:10:21,2018-09-03T10:57:21
169,high,2018-09-06T19:38:19,2018-09-06T19:56:19
780,low,2018-09-03T10:57:21,2018-09-03T12:07:21
182,high,2018-09-06T19:56:19,2018-09-06T20:41:19
1508,low,2018-09-03T12:07:21,2018-09-03T13:37:21
1965,low,2018-09-03T13:37:21,2018-09-03T14:49:21
713,low,2018-09-03T14:49:21,2018-09-03T15:35:21
946,low,2018-09-03T15:35:21,2018-09-03T15:49:21
1138,low,2018-09-03T15:49:21,2018-09-03T17:01:21
607,medium,2018-09-06T06:51:13,2018-09-06T07:14:13
325,medium,2018-09-06T07:14:13,2018-09-06T08:41:13
1714,high,2018-09-06T20:41:19,2018-09-06T20:47:19
1876,high,2018-09-06T20:47:19,2018-09-06T22:21:19
338,medium,2018-09-06T08:41:13,2018-09-06T10:24:13
758,low,2018-09-03T17:01:21,2018-09-03T18:05:21
826,low,2018-09-03T18:05:21,2018-09-03T19:38:21
645,medium,2018-09-06T10:24:13,2018-09-06T11:03:13
118,high,2018-09-06T22:21:19,2018-09-06T23:52:19
1686,low,2018-09-03T19:38:21,2018-09-03T20:13:21
1380,low,2018-09-03T20:13:21,2018-09-03T21:39:21
139,high,2018-09-06T23:52:19,2018-09-06T23:59:19
829,low,2018-09-03T21:39:21,2018-09-03T21:46:21
134,high,2018-09-06T23:59:19,2018-09-07T00:07:19
340,medium,2018-09-06T11:03:13,2018-09-06T11:58:13
1417,low,2018-09-03T21:46:21,2018-09-03T22:08:21
949,low,2018-09-03T22:08:21,2018-09-03T23:39:21
81,high,2018-09-07T00:07:19,2018-09-07T00:43:19
729,low,2018-09-03T23:39:21,2018-09-03T23:59:21
248,medium,2018-09-06T11:58:13,2018-09-06T12:30:13
148,high,2018-09-07T00:43:19,2018-09-07T00:56:19
1626,low,2018-09-03T23:59:21,2018-09-04T00:06:21
1989,low,2018-09-04T00:06:21,2018-09-04T00:20:21
995,low,2018-09-04T00:20:21,2018-09-04T01:52:21
268,medium,2018-09-06T12:30:13,2018-09-06T13:44:13
